fund_code,fund_abbr_name,nav,add_nav,pre_nav,pre_add_nav,day_growth,day_growth_rate,handling_charge
000001,华夏成长,1.1970,3.5280,1.1840,3.5150,0.0130,1.10,0.15%
000003,中海可转债A,0.7640,0.9740,0.7680,0.9780,-0.0040,-0.52,0.08%
000004,中海可转债C,0.7670,0.9770,0.7710,0.9810,-0.0040,-0.52,0.00%
000007,鹏华国企债债券,1.1543,1.1631,1.1551,1.1639,-0.0008,-0.07,0.08%
000008,嘉实中证500ETF联接,1.7267,1.7267,1.7363,1.7363,-0.0096,-0.55,0.12%
000011,华夏大盘精选,13.0640,17.1440,12.9630,17.0430,0.1010,0.78,0.15%
000014,华夏聚利债券,1.1550,1.1550,1.1530,1.1530,0.0020,0.17,0.06%
000015,华夏纯债债券A,1.1610,1.1910,1.1610,1.1910,0,0.00,0.08%
000016,华夏纯债债券C,1.1390,1.1690,1.1380,1.1680,0.0010,0.09,0.00%
000017,财通可持续混合,1.6870,2.37,1.6560,2.3390,0.0310,1.87,0.15%
000020,景顺长城品质投资混合,2.2240,2.2240,2.1980,2.1980,0.0260,1.18,0.15%
000021,华夏优势增长混合,1.7930,2.9630,1.7810,2.9510,0.0120,0.67,0.15%
000022,南方中票A,1.15,1.15,1.1494,1.1494,0.0006,0.05,0.05%
000023,南方中票C,1.1371,1.1371,1.1366,1.1366,0.0005,0.04,0.00%
000024,大摩双利增强债券A,1.0740,1.3380,1.0740,1.3380,0,0.00,0.08%
000025,大摩双利增强债券C,1.0640,1.3280,1.0640,1.3280,0,0.00,0.00%
000028,华富保本混合,1.0130,1.3710,1.0130,1.3710,0,0.00,0.12%
000029,富国宏观策略,1.7230,1.9180,1.71,1.9050,0.0130,0.76,0.15%
000030,长城久利保本混合,1.0230,1.8940,1.0230,1.8940,0,0.00,0.12%
000031,华夏复兴混合,1.7260,1.7260,1.7250,1.7250,0.0010,0.06,0.15%
000032,易方达信用债债券A,1.23,1.23,1.2290,1.2290,0.0010,0.08,0.08%
000033,易方达信用债债券C,1.2070,1.2070,1.2060,1.2060,0.0010,0.08,0.00%
000039,农银高增长混合,1.9588,1.9588,1.9434,1.9434,0.0154,0.79,0.15%
000041,华夏全球精选,,,1.0740,1.0740,,,0.16%
000042,中证财通可持续发展100指数A,1.7330,1.7330,1.7263,1.7263,0.0067,0.39,0.12%
000043,嘉实美国成长股票,,,1.6690,1.6690,,,0.15%
000045,工银产业债A,1.2730,1.4240,1.2710,1.4220,0.0020,0.16,0.08%
000046,工银产业债B,1.2550,1.3950,1.2530,1.3930,0.0020,0.16,0.00%
000047,华夏双债增强债券A,1.1590,1.3790,1.1580,1.3780,0.0010,0.09,0.08%
